,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
87,400000,Ladi Lak Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.19531051965297916
88,400000,Ladi Lak Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.19531051965297916
89,400000,Ladi Lak Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.19531051965297916
90,1500000,GRA Phase 2 Magodo Kosofe Ikosi Lagos,Kosofe,3.0,Flat,-0.09673892722658721
91,450000,Akoka Extension Akoka Yaba Lagos,Yaba,1.0,mini,-0.1908299927245068
92,450000,Akoka Extension Akoka Yaba Lagos,Yaba,1.0,mini,-0.1908299927245068
93,250000,Golf road Lakowe Ajah Lagos,Ajah,1.0,mini,-0.20875210043839626
94,450000,Akoka Extension Akoka Yaba Lagos,Yaba,1.0,mini,-0.1908299927245068
95,600000,Akoka Alagomeji Yaba Lagos,Yaba,2.0,Flat,-0.17738841193908972
96,600000,Akoka Akoka Yaba Lagos,Yaba,2.0,Flat,-0.17738841193908972
97,1200000,Gbagada Ifako Ifako Gbagada Gbagada Lagos,Gbagada,3.0,Flat,-0.12362208879742137
98,600000,Akoka Akoka Yaba Lagos,Yaba,2.0,Flat,-0.17738841193908972
99,180000,Solebo street Beach road Ebute Ikorodu Lagos,Ikorodu,1.0,mini,-0.21502483813825757
100,600000,opp Assemblies of God Church Ojodu Lagos,Ojo,3.0,Flat,-0.17738841193908972
101,900000,Chief Natufe Bode Thomas Surulere Lagos,Surulere,2.0,Flat,-0.15050525036825554
102,2500000,Agungi Agungi Lekki Lagos,Lekki,4.0,Duplex,-0.007128388657139971
103,300000,Alagomeji Alagomeji Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
104,5000000,GRA Ikeja Gra Ikeja Lagos,Ikeja,3.0,Duplex,0.2168979577664781
105,3500000,Chevy view Chevron Lekki Lagos,Lekki,4.0,Duplex,0.08248214991230726
106,1000000,Atunrase ATUNRASE Atunrase Medina Gbagada Lagos,Gbagada,2.0,Flat,-0.1415441965113108
107,3500000,Boudillon court Chevron Lekki Lagos,Lekki,4.0,Duplex,0.08248214991230726
108,2500000,Kusenla Road Ikate Lekki Lagos,Lekki,3.0,Flat,-0.007128388657139971
109,3500000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,4.0,Duplex,0.08248214991230726
110,300000,Alagomeji Alagomeji Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
111,3000000,Millennium Citi Center Estate Oke-Alo Millenuim Ups Gbagada Lagos,Gbagada,6.0,Duplex,0.03767688062758365
112,500000,Ishaga Road Ishaga Road Idi Araba Surulere Lagos,Surulere,3.0,Flat,-0.18634946579603445
113,8000000,Lekki Lekki Phase 1 Lekki Lagos,Lekki,5.0,Duplex,0.4857295734748199
114,300000,Abule -Oja Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
115,300000,Abule -Oja Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
116,10000000,Maruwa(2nd roundabout) Lekki Phase 1 Lekki Lagos,Lekki,4.0,Commercial,0.6649506506137143
117,3000000,Royal Estate Alausa Royal Estate Alausa Ikeja Lagos,Ikeja,4.0,Duplex,0.03767688062758365
118,1800000,Ologolo GRA Tush Area of Igbo Efon Igbo Efon Lekki Lagos,Lekki,3.0,Flat,-0.06985576565575304
119,3500000,Lanre Awolokun Street Gbagada Phase2 Phase 2 Gbagada Lagos,Gbagada,6.0,Duplex,0.08248214991230726
120,300000,Abule -Oja Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
121,600000,Adeoye Ilasamaja Mushin Lagos,Mushin,2.0,Flat,-0.17738841193908972
122,1200000,Idado 4Houses away from the Roundabout Igbo Efon Lekki Lagos,Lekki,3.0,Flat,-0.12362208879742137
123,1700000,Idado Idado Lekki Lagos,Lekki,3.0,Flat,-0.07881681951269776
124,1500000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,3.0,Flat,-0.09673892722658721
